file_name,row,column,layer,ratio
R3.20.2003.jpeg,3000,2000,3,1.5
R6.69.2017.jpeg,1500,1000,3,1.5
R1.13.2007.jpeg,1386,1000,3,1.386
R4.84.2017.jpeg,1000,692,3,1.445086705
R3.75.2015.jpeg,1500,1000,3,1.5
R3.28.2003.jpeg,629,450,3,1.397777778
R9.21.2003.jpeg,1500,1000,3,1.5
R1.21.2015.jpeg,1500,1000,3,1.5
R0.49.2017.jpeg,3000,2000,3,1.5
R2.0.2010.jpeg,1500,1000,3,1.5
R1.7.2007.jpeg,1042,700,3,1.488571429
R0.23.2003.jpeg,960,640,3,1.5
R2.107.2016.jpeg,1200,800,3,1.5
R7.0.2006.jpeg,1500,1000,3,1.5
R1.10.2015.jpeg,1600,1178,3,1.358234295
R8.26.2009.jpeg,1500,1000,3,1.5
R2.3.2001.jpeg,576,400,3,1.44
R2.7.1999.jpeg,1500,1000,3,1.5
R5.19.2006.jpeg,3000,2000,3,1.5
R6.13.2014.jpeg,1500,1000,3,1.5
R0.29.2015.jpeg,2727,2000,3,1.3635
R8.4.2015.jpeg,3000,2000,3,1.5
R7.11.1999.jpeg,1200,800,3,1.5
R4.8.2015.jpeg,1500,1000,3,1.5
R8.31.2004.jpeg,1827,1280,3,1.42734375
R0.2.2011.jpeg,1200,800,3,1.5
R2.123.2016.jpeg,1500,1000,3,1.5
R8.36.2006.jpeg,1500,1000,3,1.5
R1.9.1999.jpeg,1500,1000,3,1.5
R3.11.2004.jpeg,1500,1000,3,1.5
R4.62.2016.jpeg,3000,2000,3,1.5
R1.66.2015.jpeg,1500,1050,3,1.428571429
R3.12.2015.jpeg,886,619,3,1.431340872
R9.11.2016.jpeg,1500,1000,3,1.5
R9.11.1997.jpeg,1500,1000,3,1.5
R5.2.2016.jpeg,2000,1333,3,1.500375094
R8.15.2000.jpeg,1001,701,3,1.427960057
R7.1.2012.jpeg,1500,1000,3,1.5
R7.14.2014.jpeg,2100,1400,3,1.5
R9.1.2016.jpeg,1024,691,3,1.481910275
R7.10.1999.jpeg,1500,1000,3,1.5
R7.7.2016.jpeg,3000,2000,3,1.5
R4.42.2015.jpeg,757,550,3,1.376363636
R5.9.2009.jpeg,1152,757,3,1.521796565
R2.6.2016.jpeg,3000,2000,3,1.5
R3.29.2005.jpeg,1500,1000,3,1.5
R8.78.2015.jpeg,3000,2000,3,1.5
R4.38.2017.jpeg,750,525,3,1.428571429
R2.38.2009.jpeg,1500,1000,3,1.5
R9.6.2016.jpeg,3000,2000,3,1.5
R3.53.2016.jpeg,1426,1000,3,1.426
R6.0.1998.jpeg,1500,1000,3,1.5
R2.27.2005.jpeg,855,600,3,1.425
R2.11.2015.jpeg,2513,1838,3,1.367247008
R9.22.2004.jpeg,2100,1400,3,1.5
R5.45.2016.jpeg,750,524,3,1.43129771
R5.27.2016.jpeg,1500,1000,3,1.5
R3.4.2004.jpeg,948,666,3,1.423423423
R2.4.2003.jpeg,2880,1920,3,1.5
R0.12.2007.jpeg,1500,1000,3,1.5
R2.0.2016.jpeg,1800,1200,3,1.5
R8.14.2016.jpeg,3000,2000,3,1.5
R3.39.2009.jpeg,2100,1400,3,1.5
R0.32.2017.jpeg,999,711,3,1.405063291
R1.11.2009.jpeg,1730,1200,3,1.441666667
R5.7.2001.jpeg,1500,1000,3,1.5
R9.8.1997.jpeg,2000,1333,3,1.500375094
R2.3.2013.jpeg,1600,1200,3,1.333333333
R6.19.2010.jpeg,1500,1000,3,1.5
R0.64.2015.jpeg,1500,1000,3,1.5
R8.4.2005.jpeg,1500,1000,3,1.5
R0.5.2006.jpeg,1161,820,3,1.415853659
R0.14.2002.jpeg,842,580,3,1.451724138
R4.57.2015.jpeg,1500,1000,3,1.5
R2.116.2016.jpeg,1500,1000,3,1.5
R6.0.2016.jpeg,3000,2000,3,1.5
R0.59.2017.jpeg,2048,1433,3,1.429169574
R7.87.2017.jpeg,1200,800,3,1.5
R9.9.2004.jpeg,1500,1000,3,1.5
R5.31.2004.jpeg,1500,1000,3,1.5
R7.2.2007.jpeg,1500,1000,3,1.5
R5.56.2015.jpeg,1500,1000,3,1.5
R3.16.2016.jpeg,1500,1000,3,1.5
R3.61.2017.jpeg,1440,960,3,1.5
R5.15.2011.jpeg,2100,1400,3,1.5
R7.20.2010.jpeg,1500,1000,3,1.5
R8.30.2004.jpeg,1500,1015,3,1.477832512
R8.4.2010.jpeg,1500,1000,3,1.5
R6.0.1999.jpeg,1500,1000,3,1.5
R2.51.2015.jpeg,1200,800,3,1.5
R1.51.2016.jpeg,900,600,3,1.5
R4.0.2000.jpeg,750,500,3,1.5
R6.32.2009.jpeg,1500,1000,3,1.5
R6.6.2009.jpeg,1500,1000,3,1.5
R5.1.1997.jpeg,1500,1000,3,1.5
R4.16.2003.jpeg,1483,1000,3,1.483
R4.14.1997.jpeg,3000,2000,3,1.5
R0.29.2017.jpeg,3000,2000,3,1.5
R8.82.2017.jpeg,3000,2000,3,1.5
R4.81.2015.jpeg,1199,800,3,1.49875
R5.108.2016.jpeg,1000,675,3,1.481481481
R4.12.2003.jpeg,1500,1000,3,1.5
R4.46.2009.jpeg,1500,1000,3,1.5
R1.14.2016.jpeg,2100,1400,3,1.5
R5.56.2017.jpeg,3000,2000,3,1.5
R8.29.2005.jpeg,1500,1000,3,1.5
R7.12.2004.jpeg,1500,1000,3,1.5
R0.39.2006.jpeg,800,565,3,1.415929204
R7.9.2012.jpeg,1800,1200,3,1.5
R1.68.2015.jpeg,1365,910,3,1.5
R5.47.2016.jpeg,1181,787,3,1.500635324
R5.5.1998.jpeg,900,600,3,1.5
R9.43.2016.jpeg,1800,1200,3,1.5
R1.52.2015.jpeg,2100,1400,3,1.5
R1.10.2008.jpeg,1200,810,3,1.481481481
R2.40.2006.jpeg,1500,1000,3,1.5
